,5359,5370,5361,5363,5364,5365,5366,5367,5368
사랑,0.61,,0.01,0.02,0.18,0.07,0.04,0.06,0.02
보다,0.13,0.09,0.09,0.07,0.17,0.16,0.14,0.09,0.06
없다,0.1,0.03,0.11,0.02,0.21,0.17,0.2,0.09,0.07
되다,0.15,0.09,0.2,0.11,0.14,0.15,0.04,0.06,0.07
내다,0.23,0.05,0.07,0.1,0.18,0.15,0.05,0.09,0.08
love,0.64,0.03,0.06,0.02,0.03,0.07,0.03,0.07,0.04
아름답다,0.74,,,0.12,0.04,,,0.08,0.01
같다,0.18,0.05,0.06,0.09,0.22,0.13,0.13,0.05,0.09
좋다,0.28,0.07,0.08,0.3,0.05,0.08,0.03,0.09,0.03
사랑해,0.78,,,,0.05,0.05,,0.05,0.08
마음,0.27,0.05,0.04,0.1,0.33,,0.09,0.07,0.04
곁,0.51,,,0.04,0.14,0.04,0.12,0.12,0.02
oh,0.24,0.28,0.09,0.05,0.03,0.18,0.04,0.02,0.07
맘,0.26,0.05,0.05,0.05,0.27,0.08,0.07,0.09,0.07
눈,0.22,0.07,0.16,0.1,0.15,0.12,0.08,0.05,0.05
걸다,0.13,0.09,0.13,0.05,0.2,0.13,0.13,0.06,0.06
예쁘다,0.8,0.09,,0.07,,,,0.04,
안다,0.78,,,,0.13,,,0.04,0.04
오다,0.21,0.12,0.11,0.06,0.15,0.1,0.12,0.11,0.02
손,0.33,0.11,0.1,0.07,0.1,0.12,0.03,0.03,0.1
가슴,0.25,0.06,0.03,0.02,0.28,0.06,0.11,0.11,0.06
girl,0.66,0.11,,0.07,0.07,0.09,,,
이제,0.13,0.05,0.09,0.04,0.24,0.19,0.07,0.15,0.03
세상,0.2,0.12,0.13,0.13,0.13,0.1,0.05,0.07,0.07
행복,0.17,0.04,0.04,0.48,0.09,0.07,0.06,0.05,
줄다,0.46,0.11,,0.12,,0.16,0.05,,0.09
모르다,0.1,0.09,0.1,0.06,0.39,0.1,0.03,0.06,0.07
지키다,0.78,,0.19,,,,,0.03,
좋아하다,0.86,,,0.07,,,,,0.07
위하다,0.3,0.1,0.16,0.13,0.11,0.08,,0.06,0.05
밤,0.11,0.4,0.06,0.06,0.1,0.04,0.14,0.01,0.08
품,0.83,,,0.07,,,,0.1,
너를 사랑해,1,,,,,,,,
미치다,0.23,0.31,0.05,0.03,0.05,0.17,0.02,0.13,
너에게,0.37,,0.07,0.15,0.1,0.12,0.08,0.03,0.07
baby,0.19,0.25,0.11,0.05,0.06,0.15,0.07,0.07,0.05
입술,0.73,,,,0.13,0.13,,,
시간,0.11,0.11,0.12,0.08,0.18,0.1,0.08,0.15,0.07
생각,0.12,0.06,0.11,0.05,0.17,0.2,0.07,0.14,0.08
사랑은,0.5,,,,0.29,,0.14,0.07,
고백,0.87,,,,0.09,,,0.04,
영원,0.74,0.11,,0.07,,,,,0.07
맞추다,0.51,0.3,,0.11,,0.08,,,
고맙다,0.66,,,0.07,0.07,,0.03,0.17,
내 사랑,0.63,,,,0.13,,0.07,0.07,0.1
입,0.39,0.07,0.07,0.09,0.13,0.26,,,
하늘,0.21,0.22,0.15,0.21,0.09,,0.03,0.03,0.06
심장,0.38,0.15,,,0.23,0.11,,,0.13
느끼다,0.27,0.13,0.11,0.05,0.13,0.08,0.15,0.02,0.06
만나다,0.17,0.04,,0.15,0.21,0.16,0.13,0.1,0.05
yeah,0.12,0.44,0.15,0.07,0.03,0.11,0.01,,0.07
믿다,0.18,,0.24,0.09,0.13,0.19,0.02,0.08,0.08
기억,0.09,0.03,0.05,0.01,0.1,0.06,0.06,0.53,0.07
모습,0.12,0.04,0.06,0.09,0.27,0.08,0.15,0.16,0.03
사랑해요,0.71,,,,0.1,,,0.19,
이유,0.33,0.07,,0.05,0.14,0.19,0.17,,0.05
안기다,0.7,,,0.15,,,,0.15,
빠지다,0.45,0.29,,,,0.13,,0.06,0.06
웃다,0.08,0.03,0.03,0.43,0.25,0.04,0.06,0.06,0.01
너와 나,0.27,0.19,,0.06,0.15,0.19,0.12,0.02,
다가오다,0.54,0.12,0.12,,0.08,,,,0.12
전부,0.54,,,,,0.21,0.08,0.17,
숨기다,0.41,,,0.06,0.09,0.16,0.12,,0.16
beautiful,1,,,,,,,,
여자,0.33,0.17,0.1,,0.1,0.23,0.07,,
내리다,0.21,0.09,0.21,0.14,0.1,0.05,0.05,0.1,0.05
꿈,0.07,0.04,0.6,0.04,0.04,0.08,0.07,0.02,0.06
순간,0.15,0.1,0.11,0.18,0.18,0.1,0.08,0.06,0.04
바라보다,0.34,,,0.14,0.23,,0.2,0.03,0.06
운명,0.8,,,,0.2,,,,
미소,0.34,,,0.16,0.12,,0.25,0.12,
사랑해 사랑해,0.92,,,,,,,0.08,
변하다,0.16,0.06,0.14,0.03,0.16,0.13,0.06,0.17,0.1
감다,0.31,,0.11,0.09,0.11,0.14,0.11,0.09,0.03
기다리다,0.2,,,0.07,0.24,0.09,0.13,0.24,0.04
안고,0.73,,,,,,0.2,0.07,
노래,0.1,0.53,0.06,0.08,0.08,0.09,0.03,0.03,
부르다,0.13,0.36,0.07,0.05,0.13,0.07,0.04,0.11,0.05
감사,1,,,,,,,,
제일,0.62,,,0.25,,,,0.12,
너만이,0.91,,,,,,0.09,,
아끼다,1,,,,,,,,
잊다,0.05,0.04,0.05,0.05,0.52,0.03,0.07,0.19,0.02
약속,0.34,,,0.1,0.1,0.21,0.03,0.17,0.03
make,0.4,0.28,0.2,,,0.08,,,0.04
사랑이란,1,,,,,,,,
처음,0.24,,0.2,,0.17,0.07,0.07,0.15,0.1
아프다,0.06,,,,0.62,0.06,0.03,0.18,0.05
살아가다,0.32,,0.14,0.07,0.11,0.11,,0.07,0.18
향하다,0.23,0.21,0.31,0.13,0.08,,0.03,,0.03
받다,0.13,0.04,0.13,0.04,0.18,0.31,0.07,,0.09
친구,0.12,0.24,0.17,0.07,0.08,0.22,0.06,0.04,
나오다,0.13,0.33,0.09,0.1,0.13,0.14,0.06,,0.01
u,0.21,0.16,0.19,0.19,,0.26,,,
마지막,0.17,0.15,0.11,0.04,0.17,0.11,0.11,0.13,
남다,0.14,,0.05,,0.14,0.05,0.23,0.33,0.05
설레다,0.88,,,0.12,,,,,
눈물,,,,,0.79,0.02,0.02,0.09,0.03
뛰다,0.19,0.64,0.12,,,,,0.05,
빛,0.17,0.15,0.27,0.06,0.1,,0.08,0.04,0.12
푸른,0.57,0.29,,0.14,,,,,
바람,0.12,0.2,0.05,0.17,0.09,0.08,0.12,0.08,0.08
햇살,0.33,,,0.5,0.17,,,,
들다,0.07,0.2,0.14,0.16,0.1,0.19,0.07,0.03,0.05
사이,0.24,0.12,,0.06,0.18,0.24,0.06,0.09,
빛나다,0.32,,0.16,0.44,,,,,0.08
닿다,0.33,,0.21,0.08,0.17,,,0.08,0.12
대만,0.57,,,,,,,0.43,
목소리,0.22,0.08,0.08,,0.24,0.11,0.11,0.03,0.14
try,0.88,,,,,,,,0.12
맞다,0.15,0.09,0.13,0.21,0.11,0.17,0.06,,0.09
후회,0.1,,0.06,0.04,0.35,0.14,0.07,0.13,0.1
바다,0.13,0.68,,0.19,,,,,
바라다,0.23,,,0.4,0.1,,0.17,0.03,0.07
좋은 날,0.78,,,0.22,,,,,
깊다,0.23,0.17,0.13,,0.2,,0.1,0.07,0.1
향기,0.41,,,0.24,,,,0.35,
느낌,0.33,0.38,,0.1,,,0.19,,
지나다,0.08,0.06,0.06,0.11,0.2,0.04,0.11,0.3,0.05
사실,0.21,,0.21,0.15,0.09,,0.09,0.03,0.21
반하다,1,,,,,,,,
별,0.24,0.34,0.1,0.14,,,0.1,0.07,
달빛,0.5,0.21,,0.21,,,0.07,,
겨울,0.35,0.15,0.15,0.25,,,0.1,,
속삭이다,1,,,,,,,,
필요,0.14,0.16,0.14,0.12,0.06,0.32,0.06,,
kiss,1,,,,,,,,
원하다,0.15,0.1,0.4,0.17,0.04,0.06,0.04,,0.04
게로,0.47,,,,,,,0.27,0.27
집,0.1,0.19,0.14,0.1,0.08,0.17,0.17,0.05,
존재,0.75,,,,,,,,0.25
아침,0.12,0.12,,0.42,0.06,0.06,0.12,0.04,0.04
힘들다,0.05,,0.11,0.07,0.59,0.03,0.1,0.01,0.04
삶,0.12,,0.37,0.08,0.06,0.06,0.08,,0.22
채우다,0.22,0.15,0.11,,0.07,,0.37,,0.07
끝,0.06,0.11,0.16,0.04,0.19,0.17,0.11,0.06,0.11
비추다,0.43,0.43,,0.14,,,,,
기분,0.1,0.22,0.07,0.34,,0.2,0.07,,
모자라다,0.46,,,,0.38,,,,0.15
참다,0.12,,,,0.29,0.33,0.08,0.08,0.1
평생,0.43,,,,0.21,0.36,,,
힘,0.17,,0.31,0.11,0.14,0.08,0.11,0.08,
ye,0.23,0.77,,,,,,,
떨리다,0.6,,,,0.3,,,0.1,
예뻐,1,,,,,,,,
그날,0.25,,,,0.21,,,0.54,
아무도,0.14,0.23,0.21,,0.12,,0.23,,0.07
hey,0.15,0.65,0.07,0.05,,0.07,,,
로맨틱,1,,,,,,,,
잠,0.16,,0.26,0.29,,0.16,0.08,0.05,
소리,0.1,0.47,0.05,0.07,0.07,0.09,0.09,,0.07
엄지,1,,,,,,,,
고마워요,1,,,,,,,,
묻다,0.14,0.09,0.16,0.05,0.19,0.23,0.07,0.07,
보내다,0.07,0.05,0.07,0.04,0.24,,0.21,0.27,0.05
할거,0.75,,,,,,,0.12,0.12
bye,0.38,0.25,,0.12,,0.19,,0.06,
감싸다,0.55,,,,0.27,,,,0.18
